name,category,spec,price,code,description,availability,image,published
Single Dry Bunch,Artificial Flowers & Greenery,Sold per piece,18,2001,"Dried bunch with a sola-wood rose head, in natural and dyed shades. Sold per piece. Message us on WhatsApp for the colours in stock and bulk rates.",in_stock,/img/products/2001.webp,yes
Net Dry Bunch,Artificial Flowers & Greenery,Sold per piece,20,2002,Dried bunch finished with net-wrapped rose heads. Sold per piece. Message us on WhatsApp for the colours in stock and bulk rates.,in_stock,/img/products/2002.webp,yes
Sola Wood Mini Rose,Artificial Flowers & Greenery,Pack of 100,150,2003,"Small sola-wood rose heads in mixed shades, 100 to a packet. Popular as filler for bouquets, trays and haldi décor.",in_stock,/img/products/2003.webp,yes
Sola Wood Rose,Artificial Flowers & Greenery,Pack of 25,175,2004,"Full-size sola-wood rose heads in mixed shades, 25 to a packet.",in_stock,/img/products/2004.webp,yes
Sunflower Rose,Artificial Flowers & Greenery,Pack of 25,250,2005,"Open sunflower-style heads in mixed shades, 25 to a packet.",in_stock,/img/products/2005.webp,yes
Rose,Artificial Flowers & Greenery,Pack of 25,250,2006,"Layered rose heads in mixed shades, 25 to a packet.",in_stock,/img/products/2006.webp,yes
Mini Foam Flower,Artificial Flowers & Greenery,Pack of 500,500,2007,"Small foam flowers, 500 to a packet, stocked in a range of colours. Message us on WhatsApp for the shades available.",in_stock,/img/products/2007.webp,yes
Jute Flower,Artificial Flowers & Greenery,Pack of 10,90,2008,"Jute flowers with a beaded centre, 10 to a packet.",in_stock,/img/products/2008.webp,yes
Cloth Flower,Artificial Flowers & Greenery,Pack of 25,220,2009,"Cloth flower heads with a beaded centre, 25 to a packet, in mixed shades.",in_stock,/img/products/2009.webp,yes
Poleen Papes Colour,Artificial Flowers & Greenery,Pack of 12,145,2010,"Coloured pollen sprays on wire stems, 12 to a packet. Used as filler in bouquets and arrangements.",in_stock,/img/products/2010.webp,yes
Golden / Silver Pops,Artificial Flowers & Greenery,Pack of 12,160,2011,"Beaded pops on wire stems in golden and silver, 12 to a packet.",in_stock,/img/products/2011.webp,yes
White Mini Flower,Artificial Flowers & Greenery,Sold per packet,115,2012,"Small white flower heads with green stems, sold by the packet.",in_stock,/img/products/2012.webp,yes
S Flower,Artificial Flowers & Greenery,Pack of 25,140,2013,"Layered fabric flower heads with a beaded centre, 25 to a packet.",in_stock,/img/products/2013.webp,yes
Golden Flower,Artificial Flowers & Greenery,Pack of 12,280,2014,"Golden foliage sprays, 12 to a packet.",in_stock,/img/products/2014.webp,yes
Golden Moti Flower,Artificial Flowers & Greenery,Pack of 12,280,2015,"Golden sprays finished with moti beads, 12 to a packet.",in_stock,/img/products/2015.webp,yes
Cello Tape,Packing & Bouquet Accessories,½ in × 24 rolls · 1 in × 12 · 2 in × 6 · 3 in · 90 m per roll,230,2301,"Clear packing tape, 90 metres to a roll. ₹230 a pack at every width: half-inch comes 24 rolls to a pack, one-inch 12, two-inch 6, and three-inch by the roll.",in_stock,/img/products/2301.webp|/img/products/2301-2.webp,yes
Tape Dispenser Machine,Packing & Bouquet Accessories,Sold per piece,160,2302,Weighted desk dispenser for packing tape.,in_stock,/img/products/2302.webp,yes
Double Tape,Packing & Bouquet Accessories,Sold per piece,18,2303,"Double-sided tape, sold per roll.",in_stock,/img/products/2303.webp|/img/products/2303-2.webp,yes
Paper Fan,Packing & Bouquet Accessories,Pack of 6,80,2304,"Folded paper decoration fans, 6 to a packet, in assorted sizes. Used for backdrops and photo corners.",in_stock,/img/products/2304.webp|/img/products/2304-2.webp|/img/products/2304-3.webp,yes
Paper Grass,Packing & Bouquet Accessories,Approx. 100 g per packet,25,2305,"Shredded paper filler for hampers and gift trays, roughly 100 g a packet, in a range of colours.",in_stock,/img/products/2305.webp|/img/products/2305-2.webp,yes
Glue Stick,Packing & Bouquet Accessories,Pack of 36,252,2306,"Hot-melt glue sticks for a glue gun, 36 to a packet.",in_stock,/img/products/2306.webp|/img/products/2306-2.webp,yes
Glue Gun,Packing & Bouquet Accessories,Sold per piece,280,2307,Hot-melt glue gun.,in_stock,/img/products/2307.webp,yes
Golden Moti,Packing & Bouquet Accessories,Sold per kilogram,600,2308,"Golden moti beads, sold by the kilogram.",in_stock,/img/products/2308.webp|/img/products/2308-2.webp,yes
"Moti 6"", 8"", 10"", 12""",Packing & Bouquet Accessories,"500 g packet · sizes 6, 8, 10 and 12",225,2309,"White moti beads in four sizes, 500 g to a packet.",in_stock,/img/products/2309.webp|/img/products/2309-2.webp,yes
Golden / Silver / Coffee Spray,Packing & Bouquet Accessories,400 ml bottle,150,2310,"Quick-drying acrylic spray paint in golden, silver and coffee. 400 ml bottle.",in_stock,/img/products/2310.webp,yes
