name,category,spec,price,code,description,availability,image,published
Long Peacock Tin Jar,"Gift Boxes, Trays, Bags & Baskets",Vacuum tin · holds 200–250 g,45,2507,"Printed vacuum tin jar holding 200–250 g, sold per piece.",in_stock,/img/products/2507.webp,yes
Bright Lycra,"Backdrops, Wall Panels & Cloths",5 ft wide (88 fold) · 22GJ ₹22/m · 26GJ ₹30/m,22,3300,"Bright lycra by the metre, 5 feet wide (88 fold), in twenty shades including R-Blue, Champai, Sea Green, Sky Blue, Firoz, Pink, H-Pink, Peach, Gold, Sona Gold, F-Fanta, Off White, Maroon, Green, Lemon, Red and White. Two qualities: 22GJ at ₹22 a metre, 26GJ at ₹30. Message us on WhatsApp for the shades in stock.",in_stock,/img/products/3300.webp|/img/products/3300-2.webp|/img/products/3300-3.webp|/img/products/3300-4.webp|/img/products/3300-5.webp|/img/products/3300-6.webp|/img/products/3300-7.webp|/img/products/3300-8.webp|/img/products/3300-9.webp|/img/products/3300-10.webp|/img/products/3300-11.webp|/img/products/3300-12.webp|/img/products/3300-13.webp|/img/products/3300-14.webp,yes
Green Grass Cloth,"Backdrops, Wall Panels & Cloths",Sold per metre,145,3301,"Grass-textured cloth, sold by the metre.",in_stock,/img/products/3301.webp,yes
Haldi Theme Cloth,"Backdrops, Wall Panels & Cloths",Sold per metre,170,3302,"Checked haldi-theme cloth, sold by the metre.",in_stock,/img/products/3302.webp,yes
Velvet Panel Kamal,"Backdrops, Wall Panels & Cloths",Sold per metre,235,3303,"Velvet panel in the kamal pattern, sold by the metre.",in_stock,/img/products/3303.webp,yes
Velvet Jhaler,"Backdrops, Wall Panels & Cloths",Sold per metre,250,3304,"Velvet jhaler panel, sold by the metre.",in_stock,/img/products/3304.webp,yes
Velvet Jhaler (Second Design),"Backdrops, Wall Panels & Cloths",Sold per metre,250,3305,"Velvet jhaler panel in a second colourway, sold by the metre.",in_stock,/img/products/3305.webp,yes
Velvet Panel,"Backdrops, Wall Panels & Cloths",Sold per metre,300,3306,"Plain velvet panel, sold by the metre.",in_stock,/img/products/3306.webp,yes
Jari Kamal,"Backdrops, Wall Panels & Cloths",Sold per metre,350,3307,"Jari kamal worked cloth, sold by the metre.",in_stock,/img/products/3307.webp,yes
Taiwan Panel Cobra Box,"Backdrops, Wall Panels & Cloths",Sold per metre,395,3308,"Taiwan panel in the cobra box pattern, sold by the metre.",in_stock,/img/products/3308.webp,yes
Working Cloth,"Backdrops, Wall Panels & Cloths",Sold per metre,850,3309,"Embroidered working cloth, sold by the metre.",in_stock,/img/products/3309.webp,yes
Taiwan Panel Haldi,Rajasthani & Haldi-Mehndi-Mayra Décor,2 × 4 feet,,3310,"Taiwan panel with haldi lettering, 2 × 4 feet.",in_stock,/img/products/3310.webp,yes
Bright Lycra 9mm Latkan,"Backdrops, Wall Panels & Cloths",Sold per metre,125,3311,"Bright lycra with 9 mm sequin latkan, sold by the metre.",in_stock,/img/products/3311.webp|/img/products/3311-2.webp|/img/products/3311-3.webp,yes
Butterfly Net,"Backdrops, Wall Panels & Cloths",Sold per metre,65,3312,"Butterfly-worked net, sold by the metre, in a range of shades.",in_stock,/img/products/3312.webp|/img/products/3312-2.webp|/img/products/3312-3.webp|/img/products/3312-4.webp|/img/products/3312-5.webp|/img/products/3312-6.webp|/img/products/3312-7.webp|/img/products/3312-8.webp,yes
Taiwan Ribbon Panel,"Backdrops, Wall Panels & Cloths",Sold per metre,375,3313,"Taiwan ribbon panel, sold by the metre.",in_stock,/img/products/3313.webp,yes
