"name","category","spec","price","code","description","availability","image","published"
"Rose Petal Pack","Artificial Flowers & Greenery","Pack of 1 pc Size 1.5*3feet with 1 pipe n 2 bracket","","IMP7000","","limited","","yes"
"Jasmine Lardi","Artificial Flowers & Greenery","50 Mtr 5 FUNCTION ROPE","287","IMP7001","","in_stock","","yes"
"Foam Lily Bunch","Artificial Flowers & Greenery","Size 10"", 12"", 14"" - set of 3","424","IMP7002","","in_stock","","yes"
"Hanging Ivy Trail","Artificial Flowers & Greenery","Per mtr, width 60 inch, 20 shades","561","IMP7003","","in_stock","","yes"
"Tuberose Stem","Artificial Flowers & Greenery","Box of 24 pcs, warm flicker","698","IMP7004","","in_stock","","yes"
"Pixel Curtain Light","Lights & Lighting Décor","Bundle of 20 strings, 5 mtr each","835","IMP7005","","in_stock","","yes"
"Neon Flex Strip","Lights & Lighting Décor","Per pc with 1 ltr solution + free nozzle","972","IMP7006","","in_stock","","yes"
"Disco Ball 12 inch","Lights & Lighting Décor","Pack of 100 pcs, mixed colour, assorted size","1109","IMP7007","","limited","","yes"
"Uplighter Par Can","Lights & Lighting Décor","Pack of 1 pc Size 1.5*3feet with 1 pipe n 2 bracket","1246","IMP7008","","in_stock","","yes"
"Fairy Net Light","Lights & Lighting Décor","50 Mtr 5 FUNCTION ROPE","","IMP7009","","in_stock","","yes"
"Ceramic Bud Vase","Pots & Vases","Size 10"", 12"", 14"" - set of 3","1520","IMP7010","","in_stock","","yes"
"Hammered Brass Pot","Pots & Vases","Per mtr, width 60 inch, 20 shades","1657","IMP7011","","made_to_order","","yes"
"Terracotta Planter","Pots & Vases","Box of 24 pcs, warm flicker","1794","IMP7012","","in_stock","","yes"
"Glass Bubble Bowl","Pots & Vases","Bundle of 20 strings, 5 mtr each","1931","IMP7013","","in_stock","","yes"
"Fiber Cone Stand","Pots & Vases","Per pc with 1 ltr solution + free nozzle","2068","IMP7014","","limited","","yes"
"Snow Machine 1200W","SFX & Special Effects","Pack of 100 pcs, mixed colour, assorted size","2205","IMP7015","","in_stock","","yes"
